"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"B2155","B","base-only","Сиденье Horizontal Motor Положение Out of Range","Сиденье Horizontal Motor Положение Out of Range",
"B2156","B","base-only","Rear Doppler Датчик Цепь Failure","Rear Doppler Датчик Цепь Failure",
"B2157","B","base-only","Front Doppler Датчик Цепь Failure","Front Doppler Датчик Цепь Failure",
"B2158","B","base-only","Сиденье Recline Motor Memory Положение Out of Range","Сиденье Recline Motor Memory Положение Out of Range",
"B2159","B","base-only","Memory #1 Выход Короткое замыкание на массу","Memory #1 Выход Короткое замыкание на массу",
"B2160","B","base-only","Memory #1 Выход Короткое замыкание to VBatt","Memory #1 Выход Короткое замыкание to VBatt",
"B2161","B","base-only","Сиденье Front Vertical Motor Memory Положение Out of Range","Сиденье Front Vertical Motor Memory Положение Out of Range",
"B2162","B","base-only","Data Mismatch #2 (receive data does not match what was expected)","Data Mismatch #2 (receive data does not match what was expected)",
"B2163","B","base-only","Clutch Положение Fault","Clutch Положение Fault",
"B2164","B","base-only","Сиденье Rear Vertical Motor Memory Положение Out of Range","Сиденье Rear Vertical Motor Memory Положение Out of Range",
"B2165","B","base-only","Gear shift Положение Fault","Gear shift Положение Fault",
"B2166","B","base-only","Gear select Положение Fault","Gear select Положение Fault",
"B2167","B","base-only","Сиденье Horizontal Motor Memory Положение Out of Range","Сиденье Horizontal Motor Memory Положение Out of Range",
"B2168","B","base-only","Unable to confirm Unlock Condition","Unable to confirm Unlock Condition",
"B2169","B","base-only","Unable to confirm lock Condition","Unable to confirm lock Condition",
"B2170","B","base-only","Steering Column Lock Switch Цепь Failure","Steering Column Lock Switch Цепь Failure",
"B2172","B","base-only","Inertia Switch Вход Цепь Обрыв","Inertia Switch Вход Цепь Обрыв",
"B2174","B","base-only","Window Водитель Rear Remote Up Switch Короткое замыкание на батарею","Window Водитель Rear Remote Up Switch Короткое замыкание на батарею",
"B2175","B","base-only","A/C Запрос Сигнал Цепь Короткое замыкание на массу","A/C Запрос Сигнал Цепь Короткое замыкание на массу",
"B2176","B","base-only","Overdrive switch Цепь Короткое замыкание to Vbatt","Overdrive switch Цепь Короткое замыкание to Vbatt",
"B2177","B","base-only","Interior Scanning Датчик Цепь Failure","Interior Scanning Датчик Цепь Failure",
"B2178","B","base-only","Window Водитель Rear Remote Down Switch Короткое замыкание на батарею","Window Водитель Rear Remote Down Switch Короткое замыкание на батарею",
"B2179","B","base-only","Front Wiper Select Switch A Короткое замыкание на массу","Front Wiper Select Switch A Короткое замыкание на массу",
"B2180","B","base-only","Front Wiper Select Switch B Короткое замыкание на массу","Front Wiper Select Switch B Короткое замыкание на массу",
"B2181","B","base-only","Front Wiper Select Switch C Короткое замыкание на массу","Front Wiper Select Switch C Короткое замыкание на массу",
"B2182","B","base-only","Window Пассажир Front Remote Up Switch Короткое замыкание на батарею","Window Пассажир Front Remote Up Switch Короткое замыкание на батарею",
"B2183","B","base-only","Front Wiper Select Switch H Короткое замыкание на массу","Front Wiper Select Switch H Короткое замыкание на массу",
"B2184","B","base-only","Front Wiper Select Switch W Короткое замыкание на массу","Front Wiper Select Switch W Короткое замыкание на массу",
"B2185","B","base-only","Rear Wiper Select Switch D Короткое замыкание на массу","Rear Wiper Select Switch D Короткое замыкание на массу",
"B2186","B","base-only","Window Пассажир Front Remote Down Switch Короткое замыкание на батарею","Window Пассажир Front Remote Down Switch Короткое замыкание на батарею",
"B2187","B","base-only","Rear Wiper Select Switch B Короткое замыкание на массу","Rear Wiper Select Switch B Короткое замыкание на массу",
"B2188","B","base-only","Rear Wiper Select Switch E Короткое замыкание на массу","Rear Wiper Select Switch E Короткое замыкание на массу",
"B2190","B","base-only","Window Пассажир Rear Remote Up Switch Короткое замыкание на батарею","Window Пассажир Rear Remote Up Switch Короткое замыкание на батарею",
"B2194","B","base-only","Window Пассажир Rear Remote Down Switch Короткое замыкание на батарею","Window Пассажир Rear Remote Down Switch Короткое замыкание на батарею",
"B2195","B","base-only","Водитель Window Up / Down Power Цепь Короткое замыкание на массу","Водитель Window Up / Down Power Цепь Короткое замыкание на массу",
